text,label
"Large pothole on Sector 7 main road, multiple bike accidents reported this week",real
"Deep crater near metro station exit, vehicles swerving dangerously",real
Multiple potholes on Sector 10 internal road after monsoon,real
Potholes near community centre causing daily traffic jams,real
"Deep pothole on E Block road, car suspension damaged last night",real
"Phase 1 Extension road full of potholes, auto-rickshaws refusing route",real
"Small potholes appearing near Central Market, needs preventive repair",real
"M-Block market road needs resurfacing, potholes worsening",real
"Potholes near IT park entrance, heavy vehicle damage",real
"Pothole-ridden road in C Block, school bus nearly overturned",real
Select City Walk access road pothole causing traffic backlog,real
Aruna Asaf Ali Marg developing potholes near mall,real
"Main metro feeder road completely broken, emergency needed",real
West Avenue Road potholes accumulating near park,real
"Industrial area road dangerous for trucks, pothole 2 feet deep",real
"Near Kalkaji Mandir, road surface broken after recent digging",real
Naya Bazar road pothole causing rickshaw accidents daily,real
"Main Bazaar road pothole, tourist complaints rising",real
Flagstaff Road developing potholes near ITO,real
"GT Road pothole cluster near Shahdara metro, peak-hour danger",real
"Major water pipe burst flooding Sector 5 road, supply cut for 3 days",real
"No water supply in C Block for 3 days, tanker request ignored",real
"Water seepage from main road tap near ISBT, wastage for 2 weeks",real
"Brown water from taps in C Block, possible contamination",real
"Underground pipe burst in Sector 15, road collapsing into sinkhole",real
"Water supply only 30 minutes daily, residents using tankers",real
"Slow water pressure in DDA flats, top floors getting no supply",real
"Water contamination complaint, yellowish supply since yesterday",real
"Water meter reading incorrect, bill tripled this month",real
"Pipeline burst near market, 500 families without water 24 hours",real
Overhead tank overflow wasting hundreds of litres daily,real
"Water timing changed without notice, residents miss supply window",real
"Old colonial pipe burst, massive waterlogging near market",real
Water supply contaminated after nearby construction,real
"No supply alternate days, official schedule not followed",real
"Overflowing dustbin near Ajmal Khan Road metro entrance, 3 days",real
Illegal garbage dump near heritage zone growing daily,real
MCD garbage truck not visiting sector for over a week,real
Litter accumulation around inner circle benches and gardens,real
Construction debris dumped illegally on Mathura Road service lane,real
"Garbage pile near Central Market, causing stench and flies",real
"Industrial waste dumped in residential area, health hazard",real
"Sector 12 park dustbin overflowing, not cleared in 5 days",real
"Sector 7 market garbage not collected, vendor complaints",real
"Student hostel area overflowing bins, disease risk rising",real
"Mall area garbage not cleared on Sundays, stench complaint",real
Community park used as garbage dump at night by nearby shops,real
"DLF area garbage timing issue, bins full before truck comes",real
"Old Delhi wholesale market area garbage crisis, rodent sighting",real
Temple area garbage accumulation on festival days,real
"Broken streetlight outside Central Market gate 3, existing since 2 weeks",real
"Village road unlit at night, incidents increasing",real
Five streetlights out on Nelson Mandela Road stretch,real
"Market area dark after sunset, safety concern for women",real
"Solar light near park with dead battery, no maintenance",real
Heavy traffic congestion on a major road with multiple lanes blocked by vehicles.,real
The storm drain is clogged with debris and appears to be overflowing.,real
A broken wooden fence suggests possible municipal neglect or lack of maintenance.,real
Street light flickering near metro pillar 405,real
"Abandoned burnt-out car with graffiti on it, scattered trash on the road.",real
short circuit in area,real
"Large pothole on Sector 7 main road, multiple bike accidents reported",real
"Underpass lights out for 2 months, accident reported",real
Overflowing garbage bin near metro station entrance,real
Broken streetlight outside Central Market gate 3,real
"Entire Phase 3 road unlit, women attacked last week",real
Major water pipe burst flooding the sector road,real
"Frequent power outages, transformer humming loudly",real
"Sewage overflow on residential lane, foul smell",real
"Coaching area unsafe at night, 4 lights non-functional",real
Traffic signal malfunctioning at Lal Quila intersection,real
Fallen tree blocking lane after recent storm,real
Qutub area approach road dark at night,real
Litter accumulation around inner circle benches,real
Multiple potholes near community center,real
"Parks Magistrate lane poorly lit, jogger safety concern",real
Loud construction at night past 11 PM,real
No water supply in C Block for 3 days,real
Five streetlights out on Nelson Mandela Road,real
Garden approach road pitch dark after 9pm,real
Small potholes near M-Block market,real
Garbage dumping spot growing near heritage area,real
Dargah approach lane completely unlit,real
Drain blocked behind Saket District Court,real
Streetlight flickering near metro pillar 405,real
"Bus stand area dark, antisocial elements gathering",real
Tree branch hanging dangerously over road,real
Water seepage from main road tap,real
"Metro feeder road dark, two snatching incidents this week",real
"Deep pothole on E Block road, dangerous for cars",real
"Traffic signal timer too short, jams during peak hours",real
Garbage truck not coming for over a week,real
Traffic signal malfunctioning at Lal Quila intersection since Monday,real
Exposed wires hanging at chest height near market,real
Slow water pressure in DDA flats,real
"Signal timer too short on Ring Road junction, 2km jams nightly",real
Potholes near IT park entrance,real
"Trees need pruning, branches touching power lines",real
Illegal parking on inner circle blocking emergency vehicle lane,real
"Open manhole on busy road, no warning signs",real
Construction debris dumped on roadside,real
"Market area dark after sunset, safety concern",real
Sector 9 market encroachment reducing road to single lane,real
Generator running 24/7 near residential building,real
Brown water from taps in C block,real
Village road completely blocked by pub-goers parking,real
Daily 4-hour power cuts disrupting work,real
"Sector 3 school zone no speed breakers, children at risk",real
