text,label
pothole on main road near metro station,real
big pothole near rohini sector 7 market very dangerous for bikes,real
road is damaged badly after rain water logging dwarka sector 12,real
nali band hai paani bhar raha hai ghar ke bahar,real
garbage not collected since 3 days lajpat nagar,real
street light not working since 1 week karol bagh,real
open drain near school kids danger,real
sewer overflow on main road uttam nagar,real
broken footpath near hospital,real
waterlogging near underpass connaught place,real
electric wire hanging low over road saket,real
manhole cover missing very dangerous at night,real
garbage dumped on footpath blocking path,real
tree fallen on road blocking traffic mayur vihar,real
water pipe leaking from days wasting water pitampura,real
broken road after digging for metro work not repaired,real
"overflowing dustbin near market area, smell is unbearable",real
street light flickering causing accidents at night,real
paani ki pipe toot gayi sarak pe water beh raha hai,real
sadak par bada gadda hai accident ho sakta hai,real
bijli ke taar neeche aa gaye khatra hai,real
kuda ka dhair laga hai park ke paas,real
drainage blocked flooding happening,real
road not repaired since months full of potholes,real
footpath encroached by vendor no space to walk,real
transformer sparking near residential area,real
water not coming since 2 days malviya nagar,real
construction debris dumped on road blocking lane,real
park lights not working unsafe for evening walkers,real
stray dogs near school attacking kids,real
aliens attacked my colony last night with laser guns,spam
dragons are blocking the sewer system in my area,spam
ufo landed near my house and broke the road,spam
zombie outbreak reported near metro station,spam
buy cheap medicines online click here great discount offer,spam
free money lottery win prize call now,spam
asdf qwerty zxcv mnbv,spam
lorem ipsum dolor sit amet consectetur,spam
time travellers destroyed my road in 2045,spam
haunted house ghost broke the street light,spam
vampire spotted drinking from water pipe,spam
witch casted spell on drainage system,spam
wormhole opened on main road swallowing cars,spam
win iphone 15 click this link amazing offer,spam
invest now 500% returns crypto guaranteed,spam
call girls available best service cheap rates,spam
martians destroyed the manhole cover,spam
demon living in the sewer causing blockage,spam
dragon urine causing potholes in sector 14,spam
unicorn stampede damaged the footpath,spam
go to hell mcd you useless idiots,abuse
sala government kuch nahi karta sab chor hain,abuse
you stupid officials deserve to die,abuse
f*** this government and their useless roads,abuse
all officials should be shot for this mess,abuse
test test test,test
testing 123,test
abc def ghi,test
just testing this app,test
hello world test submission please ignore,test
ignore this test,test
1234567890,test
test report test,test
"Large pothole on Sector 7 main road, multiple bike accidents reported this week",real
"Deep crater near metro station exit, vehicles swerving dangerously",real
Multiple potholes on Sector 10 internal road after monsoon,real
Potholes near community centre causing daily traffic jams,real
"Deep pothole on E Block road, car suspension damaged last night",real
"Phase 1 Extension road full of potholes, auto-rickshaws refusing route",real
"Small potholes appearing near Central Market, needs preventive repair",real
"M-Block market road needs resurfacing, potholes worsening",real
"Potholes near IT park entrance, heavy vehicle damage",real
"Pothole-ridden road in C Block, school bus nearly overturned",real
Select City Walk access road pothole causing traffic backlog,real
Aruna Asaf Ali Marg developing potholes near mall,real
"Main metro feeder road completely broken, emergency needed",real
West Avenue Road potholes accumulating near park,real
"Industrial area road dangerous for trucks, pothole 2 feet deep",real
"Near Kalkaji Mandir, road surface broken after recent digging",real
Naya Bazar road pothole causing rickshaw accidents daily,real
"Main Bazaar road pothole, tourist complaints rising",real
Flagstaff Road developing potholes near ITO,real
"GT Road pothole cluster near Shahdara metro, peak-hour danger",real
"Major water pipe burst flooding Sector 5 road, supply cut for 3 days",real
"No water supply in C Block for 3 days, tanker request ignored",real
"Water seepage from main road tap near ISBT, wastage for 2 weeks",real
"Brown water from taps in C Block, possible contamination",real
"Underground pipe burst in Sector 15, road collapsing into sinkhole",real
"Water supply only 30 minutes daily, residents using tankers",real
"Slow water pressure in DDA flats, top floors getting no supply",real
"Water contamination complaint, yellowish supply since yesterday",real
"Water meter reading incorrect, bill tripled this month",real
"Pipeline burst near market, 500 families without water 24 hours",real
Overhead tank overflow wasting hundreds of litres daily,real
"Water timing changed without notice, residents miss supply window",real
"Old colonial pipe burst, massive waterlogging near market",real
Water supply contaminated after nearby construction,real
"No supply alternate days, official schedule not followed",real
"Overflowing dustbin near Ajmal Khan Road metro entrance, 3 days",real
Illegal garbage dump near heritage zone growing daily,real
MCD garbage truck not visiting sector for over a week,real
Litter accumulation around inner circle benches and gardens,real
Construction debris dumped illegally on Mathura Road service lane,real
"Garbage pile near Central Market, causing stench and flies",real
"Industrial waste dumped in residential area, health hazard",real
