text,label
"Free pizza for life, click here to claim",spam
"UFO spotted on main st, come see",spam
Buy now and get 100% off,spam
abcdefghijklmnopqrstuvwxyz,spam
The answer is 42,spam
"Make $$$$ fast, easy, and safe",spam
Your cat is plotting against you,spam
"The world is ending, stock up on canned goods",spam
Dr. Smith wants to be your friend,spam
Limited time offer: buy one get one free on all socks,spam
The matrix has been hacked,spam
URGENT: respond to this text to unlock your account,spam
There is a giant squirrel on the loose,spam
The best pizza in town is now delivering,spam
Come and join the resistance,spam
"You have won the lottery, claim now",spam
Giraffes are taking over the city,spam
The cake is a lie,spam
Report to the authorities to claim your prize,spam
"Free trial for all services, no credit card required",spam
Outer space monkeys are invading,spam
What is the meaning of life?,spam
The secret to eternal youth revealed,spam
"The zombies are coming, don't forget to stock up on brains",spam
Are you people even listening? Our roads are crumbling and nothing's being done!,abuse
"Fix our potholes already, it's like you don't care about citizens!",abuse
Your incompetence is staggering. When will you upgrade our public transit?,abuse
Can't you see our bridges are collapsing? Get to work!,abuse
Every day I waste in traffic because of your inefficiency is a day I'll never get back.,abuse
How much longer until our water pipes are fixed? It's a health hazard!,abuse
Why does it take years to plan and execute simple infrastructure projects?,abuse
Your excuses are wearing thin. Fix our infrastructure now!,abuse
"When I vote, I expect results. Not more broken promises about road repairs.",abuse
"You're supposed to serve the public, not your own interests. Get our infrastructure sorted!",abuse
The state of our roads is a disaster. When will you act?,abuse
It's laughable how you expect us to trust you with our taxes when you can't even maintain our roads.,abuse
How can you sleep at night knowing our communities are suffering because of neglected infrastructure?,abuse
Your inaction on infrastructure is a betrayal of public trust.,abuse
"We're not asking for much, just safe and reliable roads and public services.",abuse
The lack of investment in infrastructure is a clear sign of your administration's incompetence.,abuse
Get off your backsides and fix our infrastructure! It's not that hard.,abuse
Do you have any idea how much business you're losing because of our crumbling infrastructure?,abuse
"Infrastructure isn't a partisan issue, it's a human issue. Get it together!",abuse
Your legacy will be one of neglect if you don't prioritize infrastructure now.,abuse
The people are fed up with empty promises. Deliver on infrastructure.,abuse
Every project delayed is a project denied. Stop denying us our rights to good infrastructure.,abuse
abcdefg,test
test@test.com,test
123 main st,test
anytown,test
password123,test
qwerty,test
08/20/1990,test
12/31/2022,test
1234567890,test
9876543210,test
123-456-7890,test
111.11,test
222.22,test
333.33,test
yyyy-mm-dd,test
1980-01-01,test
wqdfwqgweg,test 
